Year,URL,Image_URL,Alt_Text
2023,https://www.purdue.edu/newsroom/2023/Q4/commercial-air-service-returns-to-purdue-university-airport,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/airport-LO.jpg,Purdue University Airport
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/provost-announces-leadership-appointments-updates-on-central-searches,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/GatewayArchLO-1.jpg,
2023,https://www.purdue.edu/newsroom/2023/Q4/todays-top-5-from-purdue-university-9,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pmu-holidayOG.jpg,A festive Purdue Memorial Union during the holiday season.
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/staff-excellence-payroll-and-tax-services,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-payroll-tax-staff-excellence-800x533-1.jpg,payroll-tax-staff-excellence
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/new-faculty-activity-reporting-system-elements-launching-in-january,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Fall-Purdue-2023_KAL_4650.jpg,An academic building on the Purdue University campus.
2023,https://www.purdue.edu/newsroom/2023/Q4/research-team-explores-genomic-options-to-enhance-honeybee-resilience,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/harpur-beebreedingLO.jpg,Honeybee instrumental insemination.
2023,https://www.purdue.edu/newsroom/2023/Q4/reimagining-higher-education-with-empathy-equity-and-belonging-are-key-components-for-success-says-purdue-global-chief-diversity-officer,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/tiffany-townsendLO.jpg,A photo of Tiffany Townsend.
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/healthy-boiler-workshop-to-address-grief-stress-during-holidays-additional-resources-available,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Fall-Purdue-2022_RM18676.jpg,
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/purdue-drafts-guidance-on-ai-use-in-teaching-and-learning,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/gateway-archLO-1.jpg,
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/wghi-leading-the-way-interview-wellesley-college-president-paula-johnson,,
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/purdue-university-police-department-welcomes-two-new-officers-with-official-swearing-in-ceremony,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-pupd-new-officers-800x533-1.jpg,pupd-new-officers-OG
2023,https://www.purdue.edu/newsroom/2023/Q4/purdues-new-institute-for-advanced-system-integration-and-packaging-honors-boilermaker-and-innovative-visionary-in-semiconductors,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/atalla-asipptLO.jpg,A picture of Martin (John) M. Atalla.
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-university-wins-patent-infringement-lawsuit-against-stmicroelectronics,,
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/purdue-to-recognize-faculty-and-staff-with-complimentary-tickets-to-dec-20-womens-basketball-game,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/gateway-archLO-1.jpg,
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/purdue-community-invited-to-join-host-a-boiler-during-winter-recess,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-DSC4424.jpg,Trees and an academic building on Purdue University during the winter season.
2023,https://www.purdue.edu/newsroom/2023/Q4/discovery-points-to-new-approach-to-treating-liver-cancer,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/andrisani-livercancer-ptLO.jpg,
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/this-weeks-thumbs-up-recipients,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-2024_GMB5372.jpg,John Purdue statue
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-global-signs-educational-partnership-with-epic-flight-academy-celebrates-student-scholarship-recipients,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pg-epicflightLO.jpg,Purdue Global and Epic Flight Academy logos
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-global-advances-in-military-times-2023-best-for-vets-rankings,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pg-taylorgradLO.jpg,Sheila Taylor at Purdue Global graduation
2023,https://www.purdue.edu/newsroom/2023/Q4/body-internet-may-eliminate-the-need-for-smartphones-by-changing-how-we-use-technology,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/sen-portrait23LO.jpg,Shreyas Sen
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/showalter-trust-adds-three-faculty-honorees-funds-12-early-career-faculty,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-showalter-800x533-1.jpg,"Karen Plaut, Cankui Zhang, Marxa Figueiredo, Jennifer Freeman, Sharon M. Moe"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/leadership-personnel-updates-announced,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/gateway-archLO.jpg,Union arch
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/purdue-university-police-department-earns-reaccreditation-for-upholding-best-practices-professional-standards,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Fall-Purdue-2023_KAL_4764.jpg,The Bell Tower at Purdue during the fall season.
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/nominations-sought-for-purdue-dreamer-award,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-2024_JU25323.jpg,A shot of the Purdue University campus during the winter season.
